Task,Perturbation_Mode,Grid,Architecture,Node_Epsilon,Edge_Epsilon,Total_Graphs,Safe_Graphs,Skipped_Graphs,Avg_Time_s,Total_Verified,Total_Unknown,Total_Violated,Total_Voltage_Nodes,Pct_Verified,Mean_Bound_Width,Max_Bound_Width
PF,node_only,ieee24,GCN,0.001,N/A,100,100,0,1.3953,47,49,1204,1300,3.62,0.003565,0.019051
PF,node_only,ieee24,GCN,0.005,N/A,100,100,0,5.4476,14,271,1015,1300,1.08,0.018355,0.093529
PF,node_only,ieee24,GCN,0.010,N/A,100,100,0,10.6247,0,577,723,1300,0.00,0.038004,0.191891
PF,node_only,ieee24,SAGEConv,0.001,N/A,100,100,0,0.3780,1298,0,2,1300,99.85,0.000339,0.004739
PF,node_only,ieee24,SAGEConv,0.005,N/A,100,100,0,1.8610,1298,1,1,1300,99.85,0.001714,0.022884
PF,node_only,ieee24,SAGEConv,0.010,N/A,100,100,0,3.7229,1295,4,1,1300,99.62,0.003490,0.042613
PF,node_only,ieee24,GINE Linear,0.001,N/A,100,100,0,1.4795,702,157,441,1300,54.00,0.000492,0.004282
PF,node_only,ieee24,GINE Linear,0.005,N/A,100,100,0,6.4681,660,378,262,1300,50.77,0.002511,0.023512
PF,node_only,ieee24,GINE Linear,0.010,N/A,100,100,0,12.6228,571,545,184,1300,43.92,0.005178,0.052256
PF,node_only,ieee24,GINE Conv,0.001,N/A,100,100,0,1.9016,1143,80,77,1300,87.92,0.002794,0.031948
PF,node_only,ieee24,GINE Conv,0.005,N/A,100,100,0,9.4453,906,388,6,1300,69.69,0.014149,0.159870
PF,node_only,ieee24,GINE Conv,0.010,N/A,100,100,0,19.4806,338,960,2,1300,26.00,0.028883,0.273130
PF,node_only,ieee39,GCN,0.001,N/A,100,100,0,0.0830,464,11,2425,2900,16.00,0.000317,0.001771
PF,node_only,ieee39,GCN,0.005,N/A,100,100,0,0.3890,448,55,2397,2900,15.45,0.001582,0.008853
PF,node_only,ieee39,GCN,0.010,N/A,100,100,0,0.9917,431,101,2368,2900,14.86,0.003161,0.017705
PF,node_only,ieee39,SAGEConv,0.001,N/A,100,100,0,1.2065,2601,1,298,2900,89.69,0.000198,0.002290
PF,node_only,ieee39,SAGEConv,0.005,N/A,100,100,0,5.8081,2575,29,296,2900,88.79,0.001015,0.012555
PF,node_only,ieee39,SAGEConv,0.010,N/A,100,100,0,13.5049,2514,101,285,2900,86.69,0.002127,0.029725
PF,node_only,ieee39,GINE Linear,0.001,N/A,100,100,0,6.5560,2844,37,19,2900,98.07,0.000638,0.005383
PF,node_only,ieee39,GINE Linear,0.005,N/A,100,100,0,28.5779,2492,408,0,2900,85.93,0.003348,0.028280
PF,node_only,ieee39,GINE Linear,0.010,N/A,100,100,0,50.6717,2305,595,0,2900,79.48,0.007127,0.060051
PF,node_only,ieee39,GINE Conv,0.001,N/A,100,100,0,3.6367,2601,28,271,2900,89.69,0.000350,0.020608
PF,node_only,ieee39,GINE Conv,0.005,N/A,100,100,0,16.9100,2502,279,119,2900,86.28,0.002094,0.103259
PF,node_only,ieee39,GINE Conv,0.010,N/A,100,100,0,30.1716,2445,352,103,2900,84.31,0.004678,0.184839
PF,node_only,ieee118,GCN,0.001,N/A,100,100,0,0.6093,983,19,5398,6400,15.36,0.000519,0.003927
PF,node_only,ieee118,GCN,0.005,N/A,100,100,0,2.7314,846,211,5343,6400,13.22,0.002593,0.019673
PF,node_only,ieee118,GCN,0.010,N/A,100,100,0,5.5223,779,341,5280,6400,12.17,0.005185,0.039661
PF,node_only,ieee118,SAGEConv,0.001,N/A,100,100,0,1.7910,6400,0,0,6400,100.00,0.000076,0.001183
PF,node_only,ieee118,SAGEConv,0.005,N/A,100,100,0,9.4504,6400,0,0,6400,100.00,0.000382,0.005787
PF,node_only,ieee118,SAGEConv,0.010,N/A,100,100,0,17.5404,6400,0,0,6400,100.00,0.000780,0.011121
PF,node_only,ieee118,GINE Linear,0.001,N/A,100,100,0,8.5072,6353,29,18,6400,99.27,0.000254,0.010902
PF,node_only,ieee118,GINE Linear,0.005,N/A,100,100,0,44.8847,6301,99,0,6400,98.45,0.001293,0.053313
PF,node_only,ieee118,GINE Linear,0.010,N/A,100,100,0,84.3247,6265,135,0,6400,97.89,0.002692,0.115341
PF,node_only,ieee118,GINE Conv,0.001,N/A,100,100,0,7.9144,6400,0,0,6400,100.00,0.000218,0.003970
PF,node_only,ieee118,GINE Conv,0.005,N/A,100,100,0,37.8790,6400,0,0,6400,100.00,0.001083,0.017049
PF,node_only,ieee118,GINE Conv,0.010,N/A,100,100,0,81.6175,6400,0,0,6400,100.00,0.002220,0.030162
